,l,Lambertian,Sigma 0point75,Sigma 5
0,10.0,1.0877110064231748e-09,2.5450247242062323e-09,1.1176783971553773e-09
1,30.0,2.740492367837748e-11,5.703611880542678e-11,2.8000659106842677e-11
2,50.0,4.4675712011864036e-12,9.062348955684885e-12,4.5878708018581546e-12
3,70.0,1.5108050916288834e-12,3.0281884836310462e-12,1.5566472445777336e-12
4,90.0,7.555978363186436e-13,1.5054300322068777e-12,7.839318846985922e-13
5,110.0,3.930763838839698e-13,7.976177625592079e-13,4.0578138716748663e-13
6,130.0,2.693733962827799e-13,5.062765486086552e-13,2.6390948537205035e-13
7,150.0,1.7345025328948162e-13,3.420174044131201e-13,1.8122366241863323e-13
8,170.0,1.2626555180429057e-13,2.483743857351978e-13,1.2525843785353655e-13
9,190.0,9.319668709924528e-14,1.772556585209466e-13,9.377236700393475e-14
10,210.0,7.43477877027465e-14,1.444258368027684e-13,7.780343291015407e-14
11,230.0,5.94722461809151e-14,1.1429454360838415e-13,6.057245162982373e-14
12,250.0,5.233872935226222e-14,9.832735128933667e-14,5.2459476657662265e-14
13,270.0,4.4642286065310026e-14,7.984582309648691e-14,4.4717683171950074e-14
14,290.0,3.827268610730209e-14,7.348559543278568e-14,4.152264370095921e-14
15,310.0,3.569527769034369e-14,6.760684629355341e-14,3.716961526695565e-14
16,330.0,3.054617796127078e-14,5.5590926212113644e-14,3.112782168037151e-14
17,350.0,2.9822746223253616e-14,5.2460298346392397e-14,3.11117211427624e-14
18,370.0,2.7223089248012888e-14,4.911564302633406e-14,2.5407379712146726e-14
19,390.0,2.629848498475328e-14,4.726478374287401e-14,2.5438822946665973e-14
