Measurement Bins,Measurement Values,Measurement Error (Angle),Measurement Error (Amplitude)
-9.0,0.657344427041885,1.0,0.015743364762331936
-4.25,0.5939603821644902,1.0,0.01727991748819559
-1.75,0.769073957764185,1.0,0.06569718064770422
0.0,1.0,1.0,0.04670787929570602
1.75,0.7660386672467441,1.0,0.036472857479249186
4.25,0.59653403282902,1.0,0.017471715993930402
9.0,0.645529180618552,1.0,0.013486321482156864
13.5,0.6155539537401563,1.0,0.03085381575972418
17.5,0.5795859014224906,1.0,0.023378288318648226
22.5,0.5222195898569099,1.0,0.019918235545288477
27.5,0.440689023489437,1.0,0.013964348263462451
32.5,0.3482552081991319,1.0,0.013630343665343075
37.5,0.2747130304394051,1.0,0.01657129126191119
42.5,0.20049838187622926,1.0,0.012069870846431397
47.5,0.13618942071701695,1.0,0.006976149528944278
52.5,0.08861453957913261,1.0,0.00711974621000266
57.5,0.05449654859336941,1.0,0.005191807063912106
62.5,0.03386762521003373,1.0,0.005259978142851686
67.5,0.023724717678224018,1.0,0.006173132118589492
